,symbol
1415,ESGU
1416,RSVR
1417,JMAC
1418,JMSB
1419,JNUG
1420,RCKY
1421,RUTH
1422,REPL
1423,ESLT
1424,REPX
1425,RES
1426,FXF
1427,JUGG
1428,AGZ
1429,UNM
1430,GDST
1431,GDYN
1432,LPI
1433,NHC
1434,AHCO
1435,RWAY
1436,RWR
1437,RWT
1438,RWX
1439,KBWB
1440,MYPS
1441,CNTY
1442,ECAT
1443,GHIX
1444,MYRG
1445,KOLD
1446,KCCA
1447,KLIC
1448,NTGR
1449,NTIC
1450,RXT
1451,RY
1452,RYAAY
1453,NTRS
1454,RYAM
1455,RYAN
1456,EIX
1457,KNSW
1458,ABCM
1459,RADI
1460,EFAV
1461,LAC
1462,LCII
1463,LDOS
1464,LEGN
1465,AVTR
1466,ROVR
1467,GII
1468,GLAD
1469,ELMD
1470,FELE
1471,FEM
1472,GLD
1473,GLTR
1474,GM
1475,POST
1476,DNAA
1477,DNAB
1478,EBIX
1479,ARCB
1480,CFG
1481,RTLR
1482,NRC
1483,FLEX
1484,JUN
1485,EMD
1486,FFBW
1487,NWSA
1488,ISEE
1489,LII
1490,LNTH
1491,LOCC
1492,LOCO
1493,LOGI
1494,SEE
1495,ABG
1496,DDD
1497,HLF
1498,DHCA
1499,NCR
1500,LPX
1501,LQD
1502,LQDB
1503,LSTR
1504,LSXMA
1505,SKYY
1506,DNUT
1507,TTC
1508,EMLD
1509,GBX
1510,KMDA
1511,ABT
1512,DNZ
1513,DOC
1514,DPCS
1515,GTXAP
1516,HEES
1517,HERO
1518,COCO
1519,COST
1520,COUP
1521,FHI
1522,MDYV
1523,SAMG
1524,SBCF
1525,SCCO
1526,TTGT
1527,TTM
1528,DCI
1529,FLNC
1530,FLNG
1531,PAY
1532,LUMN
1533,MASS
1534,MATV
1535,MAX
1536,META
1537,RJF
1538,MCBC
1539,RNDB
1540,SLAB
1541,SLAMU
1542,SLB
1543,AVIR
1544,CATO
1545,SLCA
1546,SLF
1547,SBT
1548,CMP
1549,CGAU
1550,DOW
1551,RMAX
1552,CCTS
1553,RNR
1554,DOV
1555,FNA
1556,FRSG
1557,FTEV
1558,RM
1559,DH
1560,DLA
1561,EEM
1562,SFST
1563,ENV
1564,KODK
1565,TVTX
1566,RLGT
1567,SLGC
1568,FTPA
1569,GBRGU
1570,HUBB
1571,SDY
1572,TWO
1573,GH
1574,AIR
1575,DQ
1576,PAG
1577,O
1578,SHYG
1579,EEX
1580,EFC
1581,EMKR
1582,DOCN
1583,PAGP
1584,PAGS
1585,MRNA
1586,ALX
1587,VNO
1588,DRAY
1589,SWMAY
1590,VNM
1591,DRAYU
1592,WXXWY
1593,EGO
1594,KB
1595,MUSI
1596,NGC
1597,NJR
1598,AADI
1599,TWST
1600,LTPZ
1601,LTRN
1602,SHV
1603,EMN
1604,SHW
1605,KNX
1606,MRCC
1607,MRVI
1608,NOW
1609,PHT
1610,SCWX
