,symbol
1353,INFA
1354,INFN
1355,INFU
1356,INFY
1357,ING
1358,INGN
1359,INGR
1360,INMD
1361,INNV
1362,INSE
1363,INSM
1364,INSP
1365,INST
1366,INTC
1367,INTE
1368,INTT
1369,INTU
1370,INVE
1371,IOAC
1372,IONS
1373,IOO
1374,IOSP
1375,IOVA
1376,IP
1377,IPAR
1378,IPAX
1379,IPGP
1380,IPOD
1381,IPOF
1382,IPSC
1383,IPVA.U
1384,IPVF
1385,IPVI
1386,IPWR
1387,IQ
1388,IQDF
1389,IQLT
1390,IQMD
1391,IQV
1392,IR
1393,IRAA
1394,IRAAU
1395,IRBT
1396,IRDM
1397,IRIX
1398,IRL
1399,IRM
1400,IROQ
1401,IRRX
1402,IRS
1403,IRT
1404,IRTC
1405,IRWD
1406,ISDX
1407,ISEM
1408,ISLE
1409,ISRG
1410,ISSC
1411,ISTB
1412,ISTR
1413,ISVL
1414,IT
1415,ITA
1416,ITAQ
1417,ITGR
1418,ITM
1419,ITOT
1420,ITQ
1421,ITRI
1422,ITRN
1423,ITT
1424,ITUB
1425,ITW
1426,IUSB
1427,IUSG
1428,IUSV
1429,IVAC
1430,IVCA
1431,IVCB
1432,IVCP
1433,IVE
1434,IVH
1435,IVOO
1436,IVR
1437,IVT
1438,IVW
1439,IVZ
1440,IWD
1441,IWF
1442,IWM
1443,IWN
1444,IWO
1445,IWP
1446,IWV
1447,IWY
1448,IX
1449,IXAQ
1450,IXC
1451,IXN
1452,IXUS
1453,IYC
1454,IYE
1455,IYF
1456,IYG
1457,IYJ
1458,IYT
1459,IYW
1460,IYY
1461,J
1462,JACK
1463,JAKK
1464,JAMF
1465,JANX
1466,JAQC
1467,JATT
1468,JAZZ
1469,JBGS
1470,JBHT
1471,JBI
1472,JBL
1473,JBLU
1474,JBSS
1475,JBT
1476,JCIC
1477,JCICU
1478,JEF
1479,JELD
1480,JEMA
1481,JEPQ
1482,JETS
1483,JGGC
1484,JGH
1485,JHG
1486,JHMD
1487,JHS
1488,JHSC
1489,JJSF
1490,JKHY
1491,JKS
1492,JMBS
1493,JMIA
1494,JNCE
1495,JNJ
1496,JNUG
1497,JOE
1498,JOFF
1499,JPM
1500,JPME
1501,JRS
1502,JRVR
1503,JUN.U
1504,JWN
