,symbol
1242,OSW
1243,OSUR
1244,MOV
1245,OTEX
1246,MSAC
1247,REGN
1248,POWL
1249,AAPL
1250,INSM
1251,ENTG
1252,HLAH
1253,FCEL
1254,HLIO
1255,HOPE
1256,GES
1257,GPN
1258,GS
1259,PRLB
1260,OEPW
1261,OEPWU
1262,OXUS
1263,ACDI
1264,RELY
1265,REM
1266,REVE
1267,DOMO
1268,EAF
1269,EHTH
1270,REVH
1271,HTBK
1272,HTLD
1273,REVHU
1274,ELA
1275,ECNS
1276,EMF
1277,IBP
1278,OSI
1279,PTVE
1280,PRTA
1281,OSK
1282,IBCE
1283,INSE
1284,ICLR
1285,ICLN
1286,FM
1287,CSGS
1288,DXJ
1289,PRTS
1290,CBAN
1291,PUCK
1292,ECPG
1293,PUK
1294,IIVIP
1295,OTTR
1296,IMGO
1297,OUNZ
1298,OYST
1299,OXY
1300,PULS
1301,OZK
1302,RGCO
1303,PXD
1304,IMKTA
1305,IMOM
1306,IMOS
1307,INBK
1308,INDB
1309,INDA
1310,PZZA
1311,DXLG
1312,CODI
1313,INDY
1314,INFN
1315,INFU
1316,MSBI
1317,IOVA
1318,RGNX
1319,RGR
1320,PSCH
1321,MSGE
1322,MSM
1323,DIV
1324,QDIV
1325,F
1326,PTLC
1327,QFIN
1328,OUSA
1329,OVB
1330,PAC
1331,PAA
1332,IPVA
1333,PACK
1334,ITAQ
1335,PACW
1336,FET
1337,PWR
1338,VRA
1339,ENB
1340,FONR
1341,PJAN
1342,ITM
1343,PARA
1344,PARAA
1345,PCSB
1346,QFTA
1347,PEP
1348,PFC
1349,ENCP
1350,DALS
1351,DHBC
1352,ISLE
1353,ITQ
1354,JMBS
1355,FID
1356,ABBV
1357,CGA
1358,QQEW
1359,VPN
1360,AGS
1361,TIMB
1362,CRHC
1363,JMIA
1364,JNCE
1365,ABM
1366,E
1367,QTRX
1368,FLL
1369,EPSN
1370,FMAO
1371,FLR
1372,GFOR.U
1373,GCO
1374,LBTYA
1375,QUAL
1376,QUIK
1377,RAD
1378,NRK
1379,RBLX
1380,FSNB.U
1381,FSS
1382,FSSIU
1383,MCD
1384,FTAA
1385,GIA
1386,GLBL
1387,GOOG
1388,IPSC
1389,PRCT
1390,CW
1391,CDEV
1392,CFBK
1393,AGIO
1394,FWAC
1395,GAQ
1396,KF
1397,EDNC
1398,ADC
1399,CFLT
1400,MSOS
1401,KCE
1402,MUNI
1403,LSXMK
1404,MVBF
1405,ESGU
1406,RSVR
1407,JMAC
1408,JMSB
1409,JNUG
1410,RCKY
1411,RUTH
1412,REPL
1413,ESLT
1414,REPX
1415,RES
1416,FXF
1417,JUGG
1418,AGZ
1419,UNM
1420,GDST
1421,GDYN
1422,LPI
1423,NHC
1424,AHCO
1425,RWAY
1426,RWR
1427,RWT
1428,RWX
1429,KBWB
1430,MYPS
1431,CNTY
1432,ECAT
1433,GHIX
1434,MYRG
1435,KOLD
1436,KCCA
1437,KLIC
1438,NTGR
1439,NTIC
1440,RXT
1441,RY
1442,RYAAY
1443,NTRS
1444,RYAM
1445,RYAN
1446,EIX
1447,KNSW
1448,ABCM
1449,RADI
1450,EFAV
1451,LAC
1452,LCII
1453,LDOS
1454,LEGN
1455,AVTR
1456,ROVR
1457,GII
1458,GLAD
1459,ELMD
1460,FELE
1461,FEM
1462,GLD
1463,GLTR
1464,GM
1465,POST
1466,DNAA
1467,DNAB
1468,EBIX
1469,ARCB
1470,RTLR
1471,CFG
1472,NRC
1473,FLEX
1474,JUN
1475,EMD
1476,FFBW
1477,NWSA
1478,ISEE
1479,LII
1480,LNTH
1481,LOCC
1482,LOCO
1483,LOGI
1484,SEE
1485,ABG
1486,DDD
1487,HLF
1488,DHCA
1489,NCR
1490,LPX
1491,LQD
1492,LQDB
1493,LSTR
1494,LSXMA
1495,SKYY
1496,DNUT
1497,TTC
1498,EMLD
1499,GBX
1500,KMDA
1501,ABT
1502,DNZ
1503,DOC
1504,DPCS
1505,GTXAP
1506,HEES
1507,HERO
1508,COCO
1509,COST
1510,COUP
1511,FHI
1512,MDYV
1513,SAMG
1514,SBCF
1515,SCCO
1516,TTGT
1517,TTM
1518,DCI
1519,FLNC
1520,FLNG
1521,PAY
1522,LUMN
1523,MASS
1524,MATV
1525,MAX
1526,META
1527,RJF
1528,MCBC
1529,RNDB
1530,SLAB
1531,SLAMU
1532,SLB
1533,AVIR
1534,CATO
1535,SLCA
1536,SLF
1537,SBT
1538,CMP
1539,CGAU
1540,DOW
1541,RMAX
1542,CCTS
1543,RNR
1544,DOV
1545,FNA
1546,FRSG
1547,FTEV
1548,RM
1549,DH
1550,DLA
1551,EEM
1552,SFST
1553,ENV
1554,KODK
1555,TVTX
1556,RLGT
1557,SLGC
1558,FTPA
1559,GBRGU
1560,HUBB
1561,SDY
1562,TWO
1563,GH
1564,AIR
1565,DQ
1566,PAG
1567,O
1568,SHYG
1569,EEX
1570,EFC
1571,EMKR
1572,DOCN
1573,PAGP
1574,PAGS
1575,MRNA
1576,ALX
1577,VNO
1578,DRAY
1579,VNM
1580,DRAYU
1581,EGO
1582,KB
1583,MUSI
1584,NGC
1585,NJR
1586,AADI
1587,TWST
1588,LTPZ
1589,LTRN
1590,SHV
1591,EMN
1592,SHW
1593,KNX
1594,MRCC
1595,MRVI
1596,NOW
1597,PHT
1598,SCWX
1599,ACT
1600,HOLX
1601,CBSH
1602,FGMC
1603,MNKD
1604,CBT
1605,PFIS
1606,PFL
1607,NRAC
1608,NSPI
1609,NSTC
1610,NTAP
1611,SCX
1612,PFLT
1613,MCAE
1614,MCAF
1615,HSII
1616,KNSL
1617,NUE
1618,NVAX
1619,VINP
1620,SLG
1621,SLRC
1622,NHIC
1623,NIC
1624,MDC
1625,ADGI
1626,INBX
